day	day_of_year	in_gr	in_sp	in_wi	month	or_gr	or_sp	or_wi	up_gr	up_ot	up_sp	up_wi	zeros
6	96	0.006024096	0	0	4	0.005555556	0	0	0.002955866	0.002955866	0.004682887	0.004165397	0
7	97	0.006024096	0	0	4	0.005555556	0	0	0.002955866	0.002955866	0.004682887	0.004266992	0
8	98	0.006024096	0	0	4	0.005555556	0	0	0.002955866	0.002955866	0.004784689	0.004266992	0
9	99	0.006024096	0	0	4	0.005555556	0	0	0.002955866	0.002955866	0.004784689	0.004266992	0
10	100	0.006024096	0	0	4	0.005555556	0	0	0.002955866	0.002955866	0.004886491	0.004368587	0
11	101	0.006024096	0	0	4	0.005555556	0	0	0.003057792	0.003057792	0.004886491	0.004368587	0
12	102	0.006024096	0	0	4	0.005555556	0	0	0.003057792	0.003057792	0.004886491	0.004368587	0
13	103	0.006024096	0	0	4	0.005555556	0	0	0.003057792	0.003057792	0.004988293	0.004470182	0
14	104	0.006024096	0	0	4	0.005555556	0	0	0.003057792	0.003057792	0.004988293	0.004470182	0
15	105	0.006024096	0	0	4	0.005555556	0	0	0.003159719	0.003159719	0.005090095	0.004571777	0
16	106	0.006024096	0	0	4	0.005555556	0	0	0.003159719	0.003159719	0.005090095	0.004571777	0
17	107	0.006024096	0	0	4	0.005555556	0	0	0.003159719	0.003159719	0.005090095	0.004571777	0
18	108	0.006024096	0	0	4	0.005555556	0	0	0.003159719	0.003159719	0.005191897	0.004673372	0
19	109	0.006024096	0	0	4	0.005555556	0	0	0.003159719	0.003159719	0.005191897	0.004673372	0
20	110	0.006024096	0	0	4	0.005555556	0	0	0.003261645	0.003261645	0.005191897	0.004673372	0
21	111	0.006024096	0	0	4	0.005555556	0	0	0.003261645	0.003261645	0.005293698	0.004774967	0
22	112	0.006024096	0	0	4	0.005555556	0	0	0.003261645	0.003261645	0.005293698	0.004774967	0
23	113	0.006024096	0	0	4	0.005555556	0	0	0.003261645	0.003261645	0.0053955	0.004774967	0
24	114	0.006024096	0	0	4	0.005555556	0	0	0.003261645	0.003261645	0.0053955	0.004876562	0
25	115	0.006024096	0	0	4	0.005555556	0	0	0.003261645	0.003261645	0.0053955	0.004876562	0
26	116	0.006024096	0	0	4	0.005555556	0	0	0.003363571	0.003363571	0.005497302	0.004876562	0
27	117	0.006024096	0	0	4	0.005555556	0	0	0.003363571	0.003363571	0.005497302	0.004978157	0
28	118	0.006024096	0	0	4	0.005555556	0	0	0.003363571	0.003363571	0.005497302	0.004978157	0
29	119	0.006024096	0	0	4	0.005555556	0	0	0.003363571	0.003363571	0.005599104	0.004978157	0
30	120	0.006024096	0	0	4	0.005555556	0	0	0.003363571	0.003363571	0.005599104	0.005079752	0
1	121	0.006024096	0	0	5	0.005555556	0	0	0.003465498	0.003465498	0.005700906	0.005079752	0
2	122	0.006024096	0	0	5	0.005555556	0	0	0.003465498	0.003465498	0.005700906	0.005079752	0
3	123	0.006024096	0	0	5	0.005555556	0	0	0.003465498	0.003465498	0.005700906	0.005181347	0
4	124	0.006024096	0	0	5	0.005555556	0	0	0.003465498	0.003465498	0.005802708	0.005181347	0
5	125	0.006024096	0	0	5	0.005555556	0	0	0.003465498	0.003465498	0.005802708	0.005181347	0
6	126	0.006024096	0	0	5	0.005555556	0	0	0.003465498	0.003465498	0.005802708	0.005282942	0
7	127	0.006024096	0	0	5	0.005555556	0	0	0.003567424	0.003567424	0.00590451	0.005282942	0
8	128	0.006024096	0	0	5	0.005555556	0	0	0.003567424	0.003567424	0.00590451	0.005282942	0
9	129	0.006024096	0	0	5	0.005555556	0	0	0.003567424	0.003567424	0.00590451	0.005282942	0
10	130	0.006024096	0	0	5	0.005555556	0	0	0.003567424	0.003567424	0.006006312	0.005384537	0
11	131	0.006024096	0	0	5	0.005555556	0	0	0.003567424	0.003567424	0.006006312	0.005384537	0
12	132	0.006024096	0	0	5	0.005555556	0	0	0.003567424	0.003567424	0.006006312	0.005384537	0
13	133	0.006024096	0	0	5	0.005555556	0	0	0.003669351	0.003669351	0.006108114	0.005486132	0
14	134	0.006024096	0	0	5	0.005555556	0	0	0.003669351	0.003669351	0.006108114	0.005486132	0
15	135	0.006024096	0	0	5	0.005555556	0	0	0.003669351	0.003669351	0.006108114	0.005486132	0
16	136	0.006024096	0	0	5	0.005555556	0	0	0.003669351	0.003669351	0.006209915	0.005486132	0
17	137	0.006024096	0	0	5	0.005555556	0	0	0.003669351	0.003669351	0.006209915	0.005587727	0
18	138	0.006024096	0	0	5	0.005555556	0	0	0.003669351	0.003669351	0.006209915	0.005587727	0
19	139	0.006024096	0	0	5	0.005555556	0	0	0.003771277	0.003771277	0.006209915	0.005587727	0
20	140	0.006024096	0	0	5	0.005555556	0	0	0.003771277	0.003771277	0.006311718	0.005689322	0
21	141	0.006024096	0	0	5	0.005555556	0	0	0.003771277	0.003771277	0.006311718	0.005689322	0
22	142	0.006024096	0	0	5	0.005555556	0	0	0.003771277	0.003771277	0.006311718	0.005689322	0
23	143	0.006024096	0	0	5	0.005555556	0	0	0.003771277	0.003771277	0.006413519	0.005689322	0
24	144	0.006024096	0	0	5	0.005555556	0	0	0.003771277	0.003771277	0.006413519	0.005790917	0
25	145	0.006024096	0	0	5	0.005555556	0	0	0.003771277	0.003771277	0.006413519	0.005790917	0
26	146	0.006024096	0	0	5	0.005555556	0	0	0.003873204	0.003873204	0.006413519	0.005790917	0
27	147	0.006024096	0	0	5	0.005555556	0	0	0.003873204	0.003873204	0.006515321	0.005790917	0
28	148	0.006024096	0	0	5	0.005555556	0	0	0.003873204	0.003873204	0.006515321	0.005790917	0
29	149	0.006024096	0	0	5	0.005555556	0	0	0.003873204	0.003873204	0.006515321	0.005892512	0
30	150	0.006024096	0	0	5	0.005555556	0	0	0.003873204	0.003873204	0.006515321	0.005892512	0
1	151	0.006024096	0	0	6	0.005555556	0	0	0.003873204	0.003873204	0.006617123	0.005892512	0
