AGCENSUS_cat,AGCENSUS_group,AGCENSUS_subclass,QID,QDesc,LU_CODE,Detailed_Class,Summary_Class
wheat-for-combining,crops-and-fallow,#N/A,#N/A,#N/A,4,Winter wheat,Arable
winter-barley-for-combining,crops-and-fallow,#N/A,#N/A,#N/A,2,Winter barley,Arable
winter-oats-for-combining,crops-and-fallow,#N/A,#N/A,#N/A,8,Winter oats,Arable
winter-oilseed-rape,crops-and-fallow,#N/A,#N/A,#N/A,6,Winter oil seed rape,Arable
glasshouses-area-of-which-is-unused,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
glasshouses-glass-structures,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
glasshouses-plastic-structures,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
grass-5-years-and-older,general,#N/A,#N/A,#N/A,16,Improved grassland,Other
grass-for-grazing-5-years-and-older,general,#N/A,#N/A,#N/A,16,Improved grassland,Other
grass-for-grazing-less-than-5-years-old,general,#N/A,#N/A,#N/A,16,Improved grassland,Other
grass-for-mowing-5-years-and-older,general,#N/A,#N/A,#N/A,16,Improved grassland,Other
grass-for-mowing-less-than-5-years-old,general,#N/A,#N/A,#N/A,16,Improved grassland,Other
grass-under-5-years-old,general,#N/A,#N/A,#N/A,16,Improved grassland,Other
lfa-area-of-disadvantaged-land,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
lfa-area-of-severely-disadvantaged-land,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
non-lfa-land,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
other-land,general,#N/A,#N/A,#N/A,27,Other,Other
owned-area,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
rented-area,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
rough-grazing,general,#N/A,#N/A,#N/A,15,Rough grassland,Other
seasonal-let,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
seasonal-rented,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
set-aside,general,#N/A,#N/A,#N/A,14,Set aside,Arable
total-area,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
total-crops-and-grass,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
total-land,general,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
woodland,general,#N/A,#N/A,#N/A,17,Woodland and forest,Other
all-other-horses,horses,individual,215,All Other Horses and Ponies,#N/A,#N/A,#N/A
deer,horses,individual,213,Farmed Deer,#N/A,#N/A,#N/A
donkeys,horses,individual,214,Horses Used in Agriculture,#N/A,#N/A,#N/A
donkeys-unraised,horses,individual,214,Horses Used in Agriculture,#N/A,#N/A,#N/A
horses-for-agriculture,horses,individual,214,Horses Used in Agriculture,#N/A,#N/A,#N/A
horses-used-in-agriculture,horses,individual,214,Horses Used in Agriculture,#N/A,#N/A,#N/A
total-horses,horses,total,214,Horses Used in Agriculture,#N/A,#N/A,#N/A
unspecified-livestock,horses,individual,214,Horses Used in Agriculture,#N/A,#N/A,#N/A
alpacas-unraised,other-livestock,individual,214,Horses Used in Agriculture,#N/A,#N/A,#N/A
llamas-unraised,other-livestock,individual,214,Horses Used in Agriculture,#N/A,#N/A,#N/A
other-camelids-unraised,other-livestock,individual,214,Horses Used in Agriculture,#N/A,#N/A,#N/A
bedding-and-pot-plants,other-plants,#N/A,#N/A,#N/A,13,Other arable,Arable
bulbs,other-plants,#N/A,#N/A,#N/A,13,Other arable,Arable
bulbs-and-other-flowers,other-plants,#N/A,#N/A,#N/A,13,Other arable,Arable
fruit-stocks,other-plants,#N/A,#N/A,#N/A,11,Fruit,Arable
