"day" "day_of_year" "in_gr" "in_sp" "in_wi" "month" "or_gr" "or_sp" "or_wi" "up_gr" "up_ot" "up_sp" "up_wi" "zeros"
"108" 17 108 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00310000008903444 0.00310000008903444 0.00499999988824129 0.0044999998062849 0
"109" 18 109 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00310000008903444 0.00310000008903444 0.00510000018402934 0.00460000010207295 0
"110" 19 110 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00310000008903444 0.00310000008903444 0.00510000018402934 0.00460000010207295 0
"111" 20 111 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.0031999999191612 0.0031999999191612 0.00510000018402934 0.00460000010207295 0
"112" 21 112 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.0031999999191612 0.0031999999191612 0.0052000000141561 0.00469999993219972 0
"113" 22 113 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.0031999999191612 0.0031999999191612 0.0052000000141561 0.00469999993219972 0
"114" 23 114 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.0031999999191612 0.0031999999191612 0.00529999984428287 0.00469999993219972 0
"115" 24 115 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.0031999999191612 0.0031999999191612 0.00529999984428287 0.00480000022798777 0
"116" 25 116 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.0031999999191612 0.0031999999191612 0.00529999984428287 0.00480000022798777 0
"117" 26 117 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00329999998211861 0.00329999998211861 0.00540000014007092 0.00480000022798777 0
"118" 27 118 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00329999998211861 0.00329999998211861 0.00540000014007092 0.00490000005811453 0
"119" 28 119 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00329999998211861 0.00329999998211861 0.00540000014007092 0.00490000005811453 0
"120" 29 120 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00329999998211861 0.00329999998211861 0.00549999997019768 0.00490000005811453 0
"121" 30 121 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00329999998211861 0.00329999998211861 0.00549999997019768 0.00499999988824129 0
"122" 1 122 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00340000004507601 0.00340000004507601 0.00559999980032444 0.00499999988824129 0
"123" 2 123 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00340000004507601 0.00340000004507601 0.00559999980032444 0.00499999988824129 0
"124" 3 124 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00340000004507601 0.00340000004507601 0.00559999980032444 0.00510000018402934 0
"125" 4 125 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00340000004507601 0.00340000004507601 0.00570000009611249 0.00510000018402934 0
"126" 5 126 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00340000004507601 0.00340000004507601 0.00570000009611249 0.00510000018402934 0
"127" 6 127 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00340000004507601 0.00340000004507601 0.00570000009611249 0.0052000000141561 0
"128" 7 128 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00350000010803342 0.00350000010803342 0.00579999992623925 0.0052000000141561 0
"129" 8 129 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00350000010803342 0.00350000010803342 0.00579999992623925 0.0052000000141561 0
"130" 9 130 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00350000010803342 0.00350000010803342 0.00579999992623925 0.0052000000141561 0
"131" 10 131 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00350000010803342 0.00350000010803342 0.0059000002220273 0.00529999984428287 0
"132" 11 132 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00350000010803342 0.00350000010803342 0.0059000002220273 0.00529999984428287 0
"133" 12 133 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00350000010803342 0.00350000010803342 0.0059000002220273 0.00529999984428287 0
"134" 13 134 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00359999993816018 0.00359999993816018 0.00600000005215406 0.00540000014007092 0
"135" 14 135 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00359999993816018 0.00359999993816018 0.00600000005215406 0.00540000014007092 0
"136" 15 136 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00359999993816018 0.00359999993816018 0.00600000005215406 0.00540000014007092 0
"137" 16 137 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00359999993816018 0.00359999993816018 0.00609999988228083 0.00540000014007092 0
"138" 17 138 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00359999993816018 0.00359999993816018 0.00609999988228083 0.00549999997019768 0
"139" 18 139 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00359999993816018 0.00359999993816018 0.00609999988228083 0.00549999997019768 0
"140" 19 140 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00370000000111759 0.00370000000111759 0.00609999988228083 0.00549999997019768 0
"141" 20 141 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00370000000111759 0.00370000000111759 0.00620000017806888 0.00559999980032444 0
"142" 21 142 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00370000000111759 0.00370000000111759 0.00620000017806888 0.00559999980032444 0
"143" 22 143 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00370000000111759 0.00370000000111759 0.00620000017806888 0.00559999980032444 0
"144" 23 144 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00370000000111759 0.00370000000111759 0.00630000000819564 0.00559999980032444 0
